id,clean_customer,gold_intent,gold_escalate,gold_escalate_reason,notes
g018,"Had purchased a Motorola charger a few months ago. That's also not working now. Of late have been quite dependent on Amazon for my electronics purchases. Unfortunately, the experience is not as satisfactory as earlier.",DELIVERY_DELAY,False,Can be autohandled if in seroius cases asked them to DM us for further support,clear intent from the user message
g019,"I contacted the seller, no response, contacted Amazon, rep tells me to contact the seller. I try to leave a review that says, product broke, no response from seller. Told that’s not allowed. I’m losing confidence in Amazon’s marketplace.",UNCLEAR_VAGUE,True,Escalation needed cause it is a unclear vague,It’s a unclear vague
g020,"hello.  I missed a 3rd attempt delivery today.  Originally it said you would try 5 times, my email says you’ll try tomorrow but the tracking says you’re now awaiting instructions for 48hrs.  What is the current position of this?",ORDER_STATUS,False,No escalation needed; standard support handling is sufficient.,clear intent from the user message
g021,Thanks for the reply. Is it possible to watch amazon India prime videos from Qatar?,DIGITAL_CONTENT_APP,False,No escalation needed; standard support handling is sufficient.,clear intent from the user message
g022,"Lies, I ordered this product and did not receive it, where is my gift set and now I will have to return it before you send what I actually ordered",REFUND_AND_RETURN,True,Refund/return issue requires resolution or financial follow-up.,clear intent from the user message
g023,"The link you have given asks me to log in. I am not able to log in as my email ID as well as mobile number is not being recognized. Btw, my name is Sandeep Pandit.",ACCOUNT_ACCESS,True,"Account, login, password, or security issue requires support.",clear intent from the user message
g024,These are the     cakes from  store.. I don't understand why these people are  selling damaged product.  This is Amazon's fault or Monginis's !!!! 🙄🙄,WRONG_DAMAGED_ITEM,True,"Damaged, defective, missing, or incorrect item requires support.",clear intent from the user message
g025,your CS desk haven’t got a clue. 5 phone calls to point out the dvd Box is damaged (as your courier chucked it over the fence). I just want a replacement but they want to charge me more money. How difficult is it to sort?,WRONG_DAMAGED_ITEM,True,"Damaged, defective, missing, or incorrect item requires support.",clear intent from the user message
g026,I used the link in your tweet - lead me to a log in page - I CANT LOG IN - is that loud enough?,ACCOUNT_ACCESS,True,"Account, login, password, or security issue requires support.",clear intent from the user message
g027,"i preordered Singstar, Sony say it's delayed but amazon still have it as coming Wednesday, make ur minds up",DELIVERY_DELAY,False,Can be autohandled if in seroius cases asked them to DM us for further support,clear intent from the user message
g028,"Amazon Prime just sent me 5 books, all damaged. My fave is the paperback that was FOLDED IN HALF to fit in a box. Don't you love ?",WRONG_DAMAGED_ITEM,True,"Damaged, defective, missing, or incorrect item requires support.",clear intent from the user message
g029,Do you happen to know what day the game will be sent out as iv had a pre order game late from amazon before and want it on release really,DELIVERY_DELAY,False,Can be autohandled if in seroius cases asked them to DM us for further support,clear intent from the user message
g030,Qué prisa se han dado en  me ha llegado en 12 horas el pedido del 2x1 de,UNCLEAR_VAGUE,True,Escalation needed cause it is a unclear vague,It’s a unclear vague
g031,One of the worst experience with,UNCLEAR_VAGUE,True,Escalation needed cause it is a unclear vague,It’s a unclear vague
g032,seems like a glitch with Amazon Prime Video app for iOS on iPhone 5S,DIGITAL_CONTENT_APP,False,No escalation needed; standard support handling is sufficient.,Clear single intent from message.
g033,"I need help with my order.
No courier boy have approached yet and courier service updated tracking as product undelivered.",ORDER_STATUS,False,No escalation needed; standard support handling is sufficient.,clear intent from the user message
g034,My stupid kindle has just stopped working for no reason 3/4 of the screen has gone blank! What am I going to read at the hospital now 😢,DIGITAL_CONTENT_APP,False,No escalation needed; standard support handling is sufficient.,clear intent from the user message
g035,"I have only one mail id that is I provided you can track by mobile number also, why are you not tracking by mob number???",ORDER_STATUS,False,No escalation needed; standard support handling is sufficient.,clear intent from the user message
g036,Well I am not able to log in my account so how do you want me to provide details,ACCOUNT_ACCESS,True,"Account, login, password, or security issue requires support.",clear intent from the user message
g037,"Gracias a ustedes por vuestro servicio, sin duda este diciembre renuevo Prime.

Un saludo,",UNCLEAR_VAGUE,True,Escalation needed cause it is a unclear vague,It’s a unclear vague
g038,Looks like  can't catch a break on 's new boxset - another error here!  copy has wrong track!,ORDER_STATUS,False,No escalation needed; standard support handling is sufficient.,clear intent from the user message
g039,Hey  I think I might need some help. An order I placed in September with a deliver by date of 11/9 still hasn’t arrived (no tracking info). I have contacted the seller to no avail. Any suggestions?,ORDER_STATUS,False,No escalation needed; standard support handling is sufficient.,clear intent from the user message
g040,just had a notification  that my package was damaged in transit and returned. What do I do?,WRONG_DAMAGED_ITEM,True,"Damaged, defective, missing, or incorrect item requires support.",seems like the item was damaged so we rise it  against wrong damaged item
g041,Compatible con ?,UNCLEAR_VAGUE,True,Escalation needed cause it is a unclear vague,It’s a unclear vague
g042,Starting to lose all faith in  - getting NO help on returning broken item!!,WRONG_DAMAGED_ITEM,True,"Damaged, defective, missing, or incorrect item requires support.",seema like the item was damaged so we consider it to come under wrong damaged item
g043,"Ok. Once the 3rd party seller agreed to refund my money only If I returned it and if He decided it was defective.   But it wasnt defective, it was the wrong item, and shipping to return the item cost more than the item itself.   
At least with Amazon items shipping is covered",REFUND_AND_RETURN,True,Refund/return issue requires resolution or financial follow-up.,seem like wrong item delivered so they need refund and return 
g044,"- Amazon Pay balance is available and Save &amp; Subscribe products are being dispatched with Cash On Delivery. Amazon India are you really serious. Kindly cancel my orders, I do not entertain cash payments.",ORDER_STATUS,False,No escalation needed; standard support handling is sufficient.,clear intent from the user message
g045,so I have two Amazon accounts one I let my girlfriend use and one I use and both of them don't have time,UNCLEAR_VAGUE,True,Escalation needed cause it is a unclear vague,It’s a unclear vague
g046,is Kindle app on both Android and iOS experiencing some error? I can’t download my purchased books. I used the app on both.,DIGITAL_CONTENT_APP,False,No escalation needed; standard support handling is sufficient.,clear intent from the user message
g047,A seller TWICE !! Both times wrong items and I called you on the phone about the fraud ! This was 13 days ago and UPS picked the item up,UNCLEAR_VAGUE,True,Escalation needed cause it is a unclear vague,it seema like a unclear and different kind of intent so we escalate it to a human
g048,bad service. Don't deliver product on time. Bad CS team. Worst courier. Don't even have track of order. #shameonamazon #flipkart,ORDER_STATUS,False,No escalation needed; standard support handling is sufficient.,clear intent from the user message
g049,"Hey, #amazon what with the bogus tracking numbers recently? If a package tracking app can’t find the proper carrier it’s not a valid #.",ORDER_STATUS,False,No escalation needed; standard support handling is sufficient.,clear intent from the user message
g050,I already left my number so someone from Amazon can call me but no answers no calls I also sent the email where the full refund is offered,REFUND_AND_RETURN,True,Refund/return issue requires resolution or financial follow-up.,clear intent from the user message
g051,"I had already done..!
What r u &amp; Amazon in doing to solve my problem. Every member of Amazon wants time, r u want delaying ,or making fool.?",DELIVERY_DELAY,False,Can be autohandled if in seroius cases asked them to DM us for further support,clear intent from the user message
g052,And some f’ing f’er has torn the middle page out on purpose  you will be getting this back.,UNCLEAR_VAGUE,True,Escalation needed cause it is a unclear vague,It’s a unclear vague
g053,So  what do I do when I get shipped the wrong item three times in a row?,WRONG_DAMAGED_ITEM,True,"Damaged, defective, missing, or incorrect item requires support.",clear intent from the user message
g054,"Just had a terrible experience with a package delivery. Originally shown as delivered 2 days ago, it was just delivered. Not good",DELIVERY_DELAY,False,Can be autohandled if in seroius cases asked them to DM us for further support,clear intent from the user message
g055,FBA157QQK2 has been delayed a lot.Normally next day stock is updated.Why is there a delay?,DELIVERY_DELAY,False,Can be autohandled if in seroius cases asked them to DM us for further support,clear intent from the user message
g056,No. We do a billion dollars a year in purchasing. I don't have the login. I just have the order number.,ACCOUNT_ACCESS,True,"Account, login, password, or security issue requires support.",clear intent from the user message
g057,"I  am not able to login in my new mobile with my ID and password.  Please help.
Currently i am out of amazon shopping and prime",ACCOUNT_ACCESS,True,"Account, login, password, or security issue requires support.",clear intent from the user message
g058,I have been a fan of amazon from last 3 years! Man never even a single problem and prime membership is awesome!prime video quality is great,DIGITAL_CONTENT_APP,False,No escalation needed; standard support handling is sufficient.,clear intent from the user message
g059,"Tava aqui quieto no meu canto, aí vem a  mostrando a oferta de black friday do Kindle. Trocar ou não trocar o meu por um paperwhite?",DIGITAL_CONTENT_APP,False,No escalation needed; standard support handling is sufficient.,clear intent from the user message
g060,Dear  all I want are my packages!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! Never had this horrible customer service in my life with them. Ordered placed 11/18 and I am still waiting,DELIVERY_DELAY,False,Can be autohandled if in seroius cases asked them to DM us for further support,clear intent from the user message
g061,Hi using everything correct as I usually would - even attempted to reset my password just to be 100% sure and getting the below,ACCOUNT_ACCESS,True,"Account, login, password, or security issue requires support.",clear intent from the user message
g062,"If ur not given me refund amount I'm filling consumer court case ur company...
Ready to meet me in Consumer court.
I want nw",REFUND_AND_RETURN,True,Refund/return issue requires resolution or financial follow-up.,clear intent from the user message
g063,I was advised that the order is been prepared and is due to be dispatched tomorrow. Surely if this is the case you should still be able to cancel as it has not left?,ORDER_STATUS,False,No escalation needed; standard support handling is sufficient.,clear intent from the user message
g064,you guys mailed me a broken internet cable,WRONG_DAMAGED_ITEM,True,"Damaged, defective, missing, or incorrect item requires support.",clear intent from the user message
g065,Whether all winners declare on  the contest watch five titles on prime video??,DIGITAL_CONTENT_APP,False,No escalation needed; standard support handling is sufficient.,clear intent from the user message
g066,"No, all it said on the label was a Gift from Amazon.",UNCLEAR_VAGUE,True,Escalation needed cause it is a unclear vague,It’s a unclear vague
g067,That an investigation has been triggered. I want someone from the UK side of amazon to call me this morning,UNCLEAR_VAGUE,True,Escalation needed cause it is a unclear vague,It’s a unclear vague
g068,"Dear  it's been 25 days since item returned 
When I shall be given money back in my account ??  #help",REFUND_AND_RETURN,True,Refund/return issue requires resolution or financial follow-up.,clear intent from the user message
g069,"I am still waiting for a genuine response by your side  As I said earlier, your services are deteriorating.",DELIVERY_DELAY,False,Can be autohandled if in seroius cases asked them to DM us for further support,clear intent from the user message
g070,"Not received my product. But status is showing delivered. Please check where is the product or refund my amount. Order date
23-Nov-2017
Order #
404-5816421-3911539
Order total
   3,251.60 (1 item)",REFUND_AND_RETURN,True,Refund/return issue requires resolution or financial follow-up.,clear intent from the user message
g071,Can you explain why the delay though?,DELIVERY_DELAY,False,Can be autohandled if in seroius cases asked them to DM us for further support,clear intent from the user message
g072,i didn't get my money back,REFUND_AND_RETURN,True,Refund/return issue requires resolution or financial follow-up.,clear intent from the user message
g073,I received ANOTHER damaged #AmazonSubscribeAndSave  delivered by  it was clearly marked as HEAVY &amp; delivered on its side.,WRONG_DAMAGED_ITEM,True,"Damaged, defective, missing, or incorrect item requires support.",clear intent from the user message
g074,is it normal for something to be stuck on dispatching now all day?,ORDER_STATUS,False,No escalation needed; standard support handling is sufficient.,clear intent from the user message
g075,I still cannot log in.  Nobody has contacted me,ACCOUNT_ACCESS,True,"Account, login, password, or security issue requires support.",clear intent from the user message
g076,"worst  CS, just spoke to them, added15 more days, to my refund query, for which i sent mail on 7th of nov, still, i didn't get a legit answer, all they say is a diff ans each time i call. i am fed up,  will i get my money back?  #AmazonIN",REFUND_AND_RETURN,True,Refund/return issue requires resolution or financial follow-up.,clear intent from the user message
g077,Initiate exchange for a defective product and received again another defective..what kind of cheating is it,WRONG_DAMAGED_ITEM,True,"Damaged, defective, missing, or incorrect item requires support.",clear intent from the user message
g078,your customer service SUCKS.,UNCLEAR_VAGUE,True,Escalation needed cause it is a unclear vague,It’s a unclear vague
g079,When your kindle is basic af so you can’t accept the terms and conditions on public WiFi so you can’t download a book you want 🙂,DIGITAL_CONTENT_APP,False,No escalation needed; standard support handling is sufficient.,clear intent from the user message
g080,"am fed up of ur automated email replies, ur Customer Service associate r sleeping for 13 dys and have no clue where my refund is.",REFUND_AND_RETURN,True,Refund/return issue requires resolution or financial follow-up.,clear intent from the user message
g081,"hey, my partner ordered a parcel due to be delivered today and it says it was delivered four minutes ago but I’ve not got anything? I hope you haven’t given my parcel to a stranger 😅",UNCLEAR_VAGUE,True,Escalation needed cause it is a unclear vague,It’s a unclear vague
g082,my Kindle keeps freaking out and closing apps by itself. The buttons on the screen look like they're being pressed and I can't open apps.,DIGITAL_CONTENT_APP,False,No escalation needed; standard support handling is sufficient.,clear intent from the user message
g083,The last 3 items I bought arrived damaged. You downgraded your shipping containers and are handing things off to USPS. #disappointed,WRONG_DAMAGED_ITEM,True,"Damaged, defective, missing, or incorrect item requires support.",clear intent from the user message
g084,"Every time i order any product, it is not being delivered on promised time. Every time it is getting delayed by your courier services",DELIVERY_DELAY,False,Can be autohandled if in seroius cases asked them to DM us for further support,clear intent from the user message
g085,"Thanks! This is how the email looks like, it didn’t match anything from your link since it didn’t ask me for password or purchase confirmation",ACCOUNT_ACCESS,True,"Account, login, password, or security issue requires support.",clear intent from the user message
g086,"Sir I think it's my name in Winner's List 
Kindly Check if it's me",UNCLEAR_VAGUE,True,Escalation needed cause it is a unclear vague,It’s a unclear vague
g087,sent another damaged record to replace my damaged record...who’s drinking in the warehouse and not using the record specific boxes?,WRONG_DAMAGED_ITEM,True,"Damaged, defective, missing, or incorrect item requires support.",clear intent from the user message
g088,I tried that   and the #CustomerService person read me exactly what my app said #delayed another package delayed today😡,DELIVERY_DELAY,False,Can be autohandled if in seroius cases asked them to DM us for further support,clear intent from the user message
g089,"Ich habe seit heute Amazon Prime Video, das heißt: Ich kann die #Bundesliga auf #Eurosport schauen.",DIGITAL_CONTENT_APP,False,No escalation needed; standard support handling is sufficient.,clear intent from the user message
g090,Order id 408-9284363-8106739.Amazon cheat and dont refund my money.,REFUND_AND_RETURN,True,Refund/return issue requires resolution or financial follow-up.,clear intent from the user message
g091,"Think it might be time to stop using . Second time now I've ordered eggs and they've arrived cracked. Used to be fine, but they're clearly overstuffing bags",WRONG_DAMAGED_ITEM,True,"Damaged, defective, missing, or incorrect item requires support.",clear intent from the user message
g092,No point. This keeps happening. Bubble mailers are not OK. I’m cancelling my prime. High majority of my orders show up damaged from amazon.,WRONG_DAMAGED_ITEM,True,"Damaged, defective, missing, or incorrect item requires support.",clear intent from the user message
g093,Package was meant to arrive yesterday from  and Royal Mail now have no tracking details for it? Any help would be appreciated!,ORDER_STATUS,False,No escalation needed; standard support handling is sufficient.,clear intent from the user message
g094,"Is this the info you need?

""Sold by: Amazon EU S.a.r.L.
Carrier: Amazon Logistics, Tracking #: AL0079321173""",ORDER_STATUS,False,No escalation needed; standard support handling is sufficient.,clear intent from the user message
g095,It said for your security your password needs to be changed then it gave two options of mobile and email for sending code.,ACCOUNT_ACCESS,True,"Account, login, password, or security issue requires support.",clear intent from the user message
g096,please can you tell me why it is taken you over 1 month to refund me my money back after sending a parcel back to you?? #angery #refund #Amazon #AmazonUK #AmazonPrime #amazon #poorservice #,REFUND_AND_RETURN,True,Refund/return issue requires resolution or financial follow-up.,clear intent from the user message
g097,"I don't think I'll use  Pantry again. The 1st box never made it - apparently damaged. After a chat with customer service, I ordered again. The box arrived drenched in product. That'll teach me to complain, nah? #CustomerService #CustomerExperience #delivery",WRONG_DAMAGED_ITEM,True,"Damaged, defective, missing, or incorrect item requires support.",clear intent from the user message
g098,"why do my audible and. newsstand kindle libraries say ""empty"" when not connected to wifi?#KindleFirefail",DIGITAL_CONTENT_APP,False,No escalation needed; standard support handling is sufficient.,clear intent from the user message
g099,where is my order?,ORDER_STATUS,False,No escalation needed; standard support handling is sufficient.,seema like they need to know about the order status
g100,"no email, I received a notification yesterday but today I had to login and then it told me by 8, now it’s saying by Tuesday? What gives",ACCOUNT_ACCESS,True,"Account, login, password, or security issue requires support.",clear intent from the user message
g101,"I want same product with same price.
If it got damaged before reaching to me why I pay more for that.
First u say I cancelled and now damage",WRONG_DAMAGED_ITEM,True,"Damaged, defective, missing, or incorrect item requires support.",clear intent from the user message
g102,I rejected a package which has a cheap quality product it has been 3 days &amp; I didn't even got a text msg or mail regarding my refund,REFUND_AND_RETURN,True,Refund/return issue requires resolution or financial follow-up.,clear intent from the user message
g103,you have messed up my delivery. Waiting for my order scheduled to be delivered yesterday and customer care is only making false promises. Where is my order?,DELIVERY_DELAY,False,Can be autohandled if in seroius cases asked them to DM us for further support,clear intent from the user message
g104,Schon geschehen. Habt ihr meinen Input erhalten?,UNCLEAR_VAGUE,True,Escalation needed cause it is a unclear vague,It’s a unclear vague
g105,"buenas, el domingo realice un pedido, y se me ha cancelado no se por que, no se como arreglarlo, me podeis ayudar?",UNCLEAR_VAGUE,True,Escalation needed cause it is a unclear vague,It’s a unclear vague
g106,So pissed that the sweater I ordered from amazon last month still hasn't came in. Wtf.,DELIVERY_DELAY,False,Can be autohandled if in seroius cases asked them to DM us for further support,clear intent from the user message
g107,I’d like to change my order; is it too late?,DELIVERY_DELAY,False,Can be autohandled if in seroius cases asked them to DM us for further support,clear intent from the user message
g108,"Excelente experiencia y precios muy bajos, el tiempo de entrega siempre antes de lo acordado y los precios siempre atractivos. Les recomiendo tener PRIME contratado.",UNCLEAR_VAGUE,True,Escalation needed cause it is a unclear vague,It’s a unclear vague
g109,"Todo el fin de semana intentado comprar en , muchas fallas en su sistema. Quizá en México no cuentan con la capacidad para atender la demanda, una lástima ya que los precios eran más bajos.",UNCLEAR_VAGUE,True,Escalation needed cause it is a unclear vague,It’s a unclear vague
g110,This is one of yours though? And Amazon took measures to protect my account before I changed my password?,ACCOUNT_ACCESS,True,"Account, login, password, or security issue requires support.",clear intent from the user message
g111,"6 days after placing a prime next day order, I’m still waiting. An app that offers no help with what to do...brilliant 👍🏼",DELIVERY_DELAY,False,Can be autohandled if in seroius cases asked them to DM us for further support,clear intent from the user message
g112,Contacted on 4th but till now nither received product nor refunded money to my account.,REFUND_AND_RETURN,True,Refund/return issue requires resolution or financial follow-up.,clear intent from the user message
g113,I wish to exchange my working Dell laptop for new one.But one of the hinges of screen is broken. Is it eligible for exchange?,WRONG_DAMAGED_ITEM,True,"Damaged, defective, missing, or incorrect item requires support.",clear intent from the user message
g114,'I also asked why there was such a delay from it being dispatched to it being delivered. Live Chat did not answer that either.',DELIVERY_DELAY,False,Can be autohandled if in seroius cases asked them to DM us for further support,seems llike delivery delay 
g115,worst service .we are waiting for 4 days to pickup damaged product. Blue dart is 2km away from me they msg me everyday we r coming,WRONG_DAMAGED_ITEM,True,"Damaged, defective, missing, or incorrect item requires support.",clear intent from the user message
g116,"Hello - ordered 1 item on 14/11 with prime - 1 day delivery. 6 days later still nothing last update is 15/11 ""in delivery"" - any help? thanks!",DELIVERY_DELAY,False,Can be autohandled if in seroius cases asked them to DM us for further support,clearly seems like the delivery delay
g117,"Yeah i ordered a car stereo and tv box damaged. 

Now stereo replacement is £45 more",WRONG_DAMAGED_ITEM,True,"Damaged, defective, missing, or incorrect item requires support.",clear intent from the user message
g118,Will there be a price drop later in the month on the PS4 Slim bundles? Wondering when to buy. Or if I buy now you can match late,DELIVERY_DELAY,False,Can be autohandled if in seroius cases asked them to DM us for further support,clear intent from the user message
g119,I have a few questions about the Kindle Create app. With whom could I connect to get them answered?,DIGITAL_CONTENT_APP,False,No escalation needed; standard support handling is sufficient.,clear intent from the user message
g120,"Hi i need help :) Im trying to sign in but there ist always trouble with the password. I change it, but always the same ""password incorrect"". Help please",ACCOUNT_ACCESS,True,"Account, login, password, or security issue requires support.",clear intent from the user message
g121,Are you guys escalating? If there is a rain or if the items are damaged will you guys offer me a refund??,WRONG_DAMAGED_ITEM,True,"Damaged, defective, missing, or incorrect item requires support.",seems like the item was damaged and they need a refund from us
g122,got my Echo installed today ...fun exploring options ...thanks Amazon,UNCLEAR_VAGUE,True,Escalation needed cause it is a unclear vague,It’s a unclear vague
g123,Ordering from  is only beneficial if you have Prime which is annoying 🙄 Ordered something 8 days ago and it still hasn't been shipped. I don't shop from Amazon enough to get prime but I'd rather not wait 10+ days for delivery UGH,DELIVERY_DELAY,False,Can be autohandled if in seroius cases asked them to DM us for further support,clear intent from the user message
g124,delivery driver loudly hammering/repeatedly ringing on my door to ask if I’d take a parcel for someone else. Furious.,UNCLEAR_VAGUE,True,Escalation needed cause it is a unclear vague,It’s a unclear vague
g125,We live on a remote farm. We don’t have neighbours. It’s appalling that someone would just leave them outside in the wrong property. One is an Echo and there has been heavy rain overnight.,WRONG_DAMAGED_ITEM,True,"Damaged, defective, missing, or incorrect item requires support.",seem like wrongly delivered and the item is got damaged
g126,"My goal was to read more books than I did last year.  Last year I read zero books even though I had an entry Kindle.  Then I bought a Paperwhite.  I read twelve books in the first seven months of 2017.  That is quite a change, no?",DIGITAL_CONTENT_APP,False,No escalation needed; standard support handling is sufficient.,clear intent from the user message
g127,"My recent  orders have had hilarious shipping glitches. Something I received yesterday hasn't shipped yet, according to them. :)",UNCLEAR_VAGUE,True,Escalation needed cause it is a unclear vague,seems like there are many issues so we escalate it to a human if not given a proper explanation
g128,How do I buy a Kindle Book from my Amazon account as a gift to send to someone elses Kindle? I have an Australian Amazon account if that makes a difference.,DIGITAL_CONTENT_APP,False,No escalation needed; standard support handling is sufficient.,clear intent from the user message
g129,How Can I get my refund. They didn’t want me to send the hair back because I had installed it &amp; wasn’t happy,REFUND_AND_RETURN,True,Refund/return issue requires resolution or financial follow-up.,clear intent from the user message
g130,The android app on my Galaxy S5 2015 isn't loading anything! Neither does my browser when I try login to,ACCOUNT_ACCESS,True,"Account, login, password, or security issue requires support.",clear intent from the user message
g131,Now it's more then a month neither  delivered it nor refunded that's why  suck...Guys b carefully before ordering them,REFUND_AND_RETURN,True,Refund/return issue requires resolution or financial follow-up.,clear intent from the user message
g132,Your store is broken. I keep trying to check out with  and it loads  instead.,WRONG_DAMAGED_ITEM,True,"Damaged, defective, missing, or incorrect item requires support.",clear intent from the user message
g133,"Amazon India Order 405-2964732-9352306, Product delivery delayed callously. Numerous Calls and chats were made for Expedite delivery.  No apt support or compensation provided for the ruined diwali gift for my father.",DELIVERY_DELAY,False,Can be autohandled if in seroius cases asked them to DM us for further support,clear intent from the user message
g134,"Ordered it last Tuesday, admittedly on standard post but an email was saying an issue with payment which I tried to fix and just wanted to know if it was dispatched and didn’t want to be charged twice.",UNCLEAR_VAGUE,True,Escalation needed cause it is a unclear vague,it  seema like a unclear vague so we need to escalate it to a human
g135,"ordered, paid extra 100/- for delivery on next day. Was supposed to receive it yesterday but now date given is 1st Dec.
Was in urgent need. Pls check if it's coming today or else refund the extra 100 Rs. For Next day.
Tracking # 911149535738
Order # 408-5560141-4889121",REFUND_AND_RETURN,True,Refund/return issue requires resolution or financial follow-up.,seema like they paid extra 100 for fast delivery but the order not yet received so they need refund the 100
g136,Thank you  for having a pumpkin as the icon to track my order. It's making my day suck just a tiny bit less. #festive,ORDER_STATUS,False,No escalation needed; standard support handling is sufficient.,clear intent from the user message
g137,"I'm not sure you actually understand me, I'm not expecting that I will have to re-order. Someone between your warehouse &amp; my address screwed up. Why am I being even marginally inconvenienced? Great you can refund me, but why can't you just re-process the order &amp; deliver my items?",REFUND_AND_RETURN,True,Refund/return issue requires resolution or financial follow-up.,clear intent from the user message
g138,But my friend ur link is not working...See my previous screenshot,UNCLEAR_VAGUE,True,Escalation needed cause it is a unclear vague,clear intent from the user message
g139,good job keeping my money and asking for money money in order to get a refund and still not giving it back. Well played.,REFUND_AND_RETURN,True,Refund/return issue requires resolution or financial follow-up.,clear intent from the user message
g140,it just says no order. i cannot track any order.,ORDER_STATUS,False,No escalation needed; standard support handling is sufficient.,clear intent from the user message
g141,"ya and you've told me for 2 days you cant track deliveries, or give timing for delays. Been told fingers crossed times... what a solution!",DELIVERY_DELAY,False,Can be autohandled if in seroius cases asked them to DM us for further support,seems little confused bbut seema like a delivery delay
g142,You can't even find out why it got returned? What should I call you now. Can't depend on you anymore. #f off,REFUND_AND_RETURN,True,Refund/return issue requires resolution or financial follow-up.,clear intent from the user message
g143,Ok no problem thanks. My wife ordered it from her account so il do it when she is free to log in thanks for the help,ACCOUNT_ACCESS,True,"Account, login, password, or security issue requires support.",clear intent from the user message
g144,"Ever since I paid for  Prime, I have never received any item on time. #fail #amazonPrime",DELIVERY_DELAY,False,Can be autohandled if in seroius cases asked them to DM us for further support,clear intent from the user message
g145,Do you quality check before packing n shipping? rcvd 2 printer toners with broken seal on prime shipping!,WRONG_DAMAGED_ITEM,True,"Damaged, defective, missing, or incorrect item requires support.",clear intent from the user message
g146,And wat abt the problem I faced and wat abt the product I didn't received .who will be responsible for that .what will i get  in return,REFUND_AND_RETURN,True,Refund/return issue requires resolution or financial follow-up.,clear intent from the user message
g147,hey  - i am locked out of my account and i want to cancel my audible subscription ASAP. pls advise what to do. thanks.,ACCOUNT_ACCESS,True,"Account, login, password, or security issue requires support.",clear intent from the user message
g148,So i ordered my mum a necklace as a Christmas present which cost me £11.99. It arrived &amp; I have the box but sadly I never found the necklace inside it😠 Thx a lot  I just wasted money on a box without the actual present,UNCLEAR_VAGUE,True,Escalation needed cause it is a unclear vague,It’s a unclear vague
g149,my order by e com tracking #204004101 is delayed? I used same address for last  years.Ask them to deliver at my address promptly.If they have any problems ask them to call me.,DELIVERY_DELAY,False,Can be autohandled if in seroius cases asked them to DM us for further support,seems little confused but we make it under delivery delay
g150,Why does my  keep shutting down after I ask it to play Xmas songs? Is  passive aggressively telling me it's too soon?!,UNCLEAR_VAGUE,True,Escalation needed cause it is a unclear vague,It’s a unclear vague
